sku,title,handle,category,price,originalPrice,stock,material,pieces,capacity,promoLabel,healthAngle,certificationStatus,imageUrl,contentAngles,claimNote
BIEN-ANILLOS-MUJER-ACERO-AJUSTABLES,Anillos Acero Inoxidable mujer ajustables,anillos-acero-inoxidable-mujer-ajustables,Tesoros Plata & Acero,9.99,9.99,1,Acero inoxidable,1,1 anillo ajustable,Ajustables,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,anillos mujer|ajustables|acero inoxidable,Confirmar material exacto antes de pauta fuerte.
BIEN-DIJE-OM-ACERO,Dije OM Acero inoxidable,dije-om-acero-inoxidable,Tesoros Plata & Acero,5,5,1,Acero inoxidable,1,Dije,Simbolo OM,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,OM|acero inoxidable|regalo pequeno,No prometer proteccion ni beneficios espirituales.
BIEN-ARETES-LARGOS-ACERO-PLATEADOS,Aretes largos Acero inoxidable plateados,aretes-largos-acero-inoxidable-plateados,Tesoros Plata & Acero,19.99,19.99,1,Acero inoxidable,1,Par de aretes,Plateados,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,aretes largos|plateados|acero inoxidable,Confirmar material exacto antes de pauta fuerte.
BIEN-ARETES-LARGOS-ACERO-DORADOS,Aretes largos Acero inoxidable dorados,aretes-largos-acero-inoxidable-dorados,Tesoros Plata & Acero,19.99,19.99,1,Acero inoxidable,1,Par de aretes,Dorados,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,aretes largos|dorados|acero inoxidable,Confirmar material exacto antes de pauta fuerte.
BIEN-ARETES-ACERO-ORO-ROSADO,Aretes Acero Inoxidable oro rosado,aretes-acero-inoxidable-oro-rosado,Tesoros Plata & Acero,15,15,1,Acero inoxidable,1,Par de aretes,Oro rosado,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,aretes|oro rosado|acero inoxidable,Confirmar material exacto antes de pauta fuerte.
BIEN-ARETES-PEQUENOS-ACERO,Aretes pequenos Acero inoxidable,aretes-pequenos-acero-inoxidable,Tesoros Plata & Acero,9.99,9.99,1,Acero inoxidable,1,Par de aretes,Uso diario,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,aretes pequenos|acero inoxidable|regalo,Confirmar material exacto antes de pauta fuerte.
BIEN-COLLARES-QUARZOS-NATURALES,Collares de Quarzos Naturales,collares-quarzos-naturales,Tesoros Plata & Acero,19.99,19.99,1,Quarzos naturales por confirmar,1,1 collar,Quarzos,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,quarzos|collar|regalo,"No prometer propiedades curativas, energeticas ni terapeuticas."
BIEN-VELAS-GRANDES-CAJA-MANDALA,Velas grandes caja mandala,velas-grandes-caja-mandala,Energia & Bienestar,4.99,4.99,1,Cera por confirmar,1,Caja mandala,Ambiente,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-velas-mandala.jpg,velas|mandala|decoracion,Usar con supervision y sin prometer beneficios medicos.
BIEN-VELAS-PEQUENAS-CAJA-MANDALA,Velas pequenas caja mandala,velas-pequenas-caja-mandala,Energia & Bienestar,3.99,3.99,1,Cera por confirmar,1,Caja mandala,Ambiente,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-velas-mandala.jpg,velas pequenas|mandala|decoracion,Usar con supervision y sin prometer beneficios medicos.
BIEN-PIEDRA-ALUMBRE,Piedra Alumbre,piedra-alumbre,Cuidado Personal,5,5,1,Alumbre,1,1 piedra,Cuidado personal,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-piedra-alumbre.jpg,alumbre|cuidado personal|rutina,Evitar claims antibacteriales o dermatologicos sin respaldo regulatorio.
BIEN-LAMPARA-GHEE-BRONCE,Lampara de ghee Bronce 100%,lampara-ghee-bronce-100,Energia & Bienestar,11,11,1,Bronce,1,1 lampara,Bronce,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-lampara-ghee-bronce.jpg,ghee|bronce|ritual,No prometer beneficios espirituales absolutos.
BIEN-NATARAJ-BRONCE,Nataraj Bronce,nataraj-bronce,Energia & Bienestar,55,55,1,Bronce,1,Figura decorativa,Bronce,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-nataraj-bronce.jpg,nataraj|bronce|decoracion,No prometer beneficios espirituales absolutos.
BIEN-INCIENSOS-STICK-JUMBO,Inciensos Stick Jumbo,inciensos-stick-jumbo,Energia & Bienestar,4.99,4.99,1,Incienso,1,Stick jumbo,Aroma,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-incienso-ullas.jpg,incienso jumbo|aroma|ambiente,Usar con ventilacion y sin prometer beneficios medicos.
BIEN-STRAP-1-8M,Straps 1.8 metros,straps-18-metros,Yoga & Movimiento,9,9,1,Tela por confirmar,1,1.8 metros,Yoga,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-straps.jpg,strap 1.8 m|yoga|movimiento,No prometer correccion fisica ni beneficio clinico.
BIEN-STRAP-3M,Straps 3 metros,straps-3-metros,Yoga & Movimiento,11,11,1,Tela por confirmar,1,3 metros,Yoga,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-straps.jpg,strap 3 m|yoga|movimiento,No prometer correccion fisica ni beneficio clinico.
BIEN-LIMPIADOR-LENGUA-COBRE,Limpiador de Lengua Cobre 100% Virgen hecho a mano,limpiador-lengua-cobre-100-virgen,Cuidado Personal,15,15,1,Cobre,1,1 limpiador,Cobre,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-limpiador-lengua-cobre.jpg,limpiador lengua|cobre|rutina diaria,"No prometer detox, cura, antibacterial ni beneficios medicos sin respaldo."
BIEN-TETERA-VIDRIO-450,Tetera vidrio 450 ml,tetera-vidrio-450ml,Hogar Zen,15,15,1,Vidrio,1,450 ml,Te,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-tetera-vidrio-450.jpg,tetera 450 ml|vidrio|infusiones,No prometer beneficios medicos por infusiones.
BIEN-INCIENSO-ORGANICOS-ULLAS,Incienso Organicos Ullas hechos a mano,incienso-organicos-ullas-hechos-a-mano,Energia & Bienestar,4.99,4.99,1,Incienso organico por confirmar,1,Caja de incienso,Aroma,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-incienso-ullas.jpg,incienso organico|hecho a mano|ambiente,Usar con ventilacion y sin prometer beneficios medicos.
BIEN-TETERA-VIDRIO-1600-INFUSOR,Tetera vidrio 1600 ml con infusor,tetera-vidrio-1600ml-infusor,Hogar Zen,15,15,1,Vidrio,1,1600 ml,Te,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-tetera-vidrio-1600.jpg,tetera 1600 ml|infusor|vidrio,No prometer beneficios medicos por infusiones.
BIEN-BOLSTERS-CUADRADOS,Bolsters cuadrados,bolsters-cuadrados,Yoga & Movimiento,35,35,1,Textil por confirmar,1,1 bolster,Soporte yoga,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-mat.svg,bolster|yoga|descanso,No prometer correccion fisica ni beneficio clinico.
BIEN-JUEGOS-TE-JAPONESES,Juegos de te Japoneses,juegos-de-te-japoneses,Hogar Zen,39.99,39.99,1,Ceramica por confirmar,1,Set de te,Te,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-juego-te-japones.jpg,te japones|set de te|regalo,No prometer beneficios medicos de infusiones.
BIEN-BILLETE-1-MILLON,Billete 1 Millon,billete-1-millon,Energia & Bienestar,3.5,3.5,1,Papel decorativo,1,1 billete,Detalle,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-billete-1-millon.jpg,billete 1 millon|detalle|regalo,"No prometer abundancia, suerte ni resultados economicos."
